spectraltype,redshift,color,temperature,gravity,metallicity
O9.5Vvar,-5.629198E-06,0.18,6537,2.497,-2.09
M1V,0.0001932524,1.474,3705,4.8,0.6
M1V,3.223691E-05,1.474,3705,4.8,0.6
M1V,0.0005779295,1.474,3705,4.8,0.6
O9.5Vvar,0.0001180283,0.18,6537,2.497,-2.09
O9.5Ib...,0.0002753122,-0.199,9899,2.924,0.09
O9.5Vvar,2.037504E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-5.22834E-05,0.18,6537,2.497,-2.09
O9.5Ib...,4.450868E-05,-0.199,9899,2.924,0.09
O9.5Ib...,6.018175E-05,-0.199,9899,2.924,0.09
O9.5Ib...,0.0001037403,-0.199,9899,2.924,0.09
O9.5Ib...,0.0003827308,-0.199,9899,2.924,0.09
O9.5Vvar,9.199789E-05,0.18,6537,2.497,-2.09
F8IV,0.0001638198,0.456,6163,4.12,-0.29
O9.5Vvar,-3.952078E-05,0.18,6537,2.497,-2.09
O9.5Vvar,7.794364E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001313665,0.18,6537,2.497,-2.09
A0,0.0001511944,0.116,7652,4.287,0.06
G1V,0.0001152694,0.6,5630,4.5,-0.45
S...,0.000221321,1.756,3700,1,-0.45
O9.5Ib...,0.000185609,-0.199,9899,2.924,0.09
K2III,8.921549E-05,1.226,4318,1.76,-0.25
G0V,6.61913E-05,0.564,5651,4.42,-0.32
A0,0.000259913,0.116,7652,4.287,0.06
F4V,0.0004132428,0.439,5952,4.22,-1.45
O9.5Ib...,0.0007119478,-0.199,9899,2.924,0.09
O9.5Vvar,0.000108428,0.18,6537,2.497,-2.09
A1V,0.000578072,0.107,7852,3.18,-1.67
F7V,-0.0001327198,0.465,5935,4.24,-0.54
G1V,3.89327E-05,0.6,5630,4.5,-0.45
O9.5Ib...,-0.0001678941,-0.199,9899,2.924,0.09
O9.5Vvar,2.125142E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-7.968814E-05,0.18,6537,2.497,-2.09
M1V,-6.846655E-05,1.474,3705,4.8,0.6
K7V,-0.0003127521,1.363,3900,4.232,0.17
O9.5Vvar,0.0003143201,0.18,6537,2.497,-2.09
